Alpha Clicks,Alpha Conversions,Compiled,Beta Impressions,Beta Clicks,Compiled,Search term,Match type,Added/Excluded,Campaign,Type,Ad group,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conversions,Cost / conv.,Conv. rate,Campaign type
Flag,,Flag,Flag,,Flag,examples of employee recognition awards,Phrase match (close variant),None,Google_Search_NB_AllGeos_Beta,Beta,Recognition,11,76,0.14,USD,1.93,21.23,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,ways to motivate employees,Exact match,Added,Google_Search_NB_Resources_Beta,Beta,employee motivation,15,75,0.20,USD,1.80,26.99,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,blueboard experiences,Exact match,Added,Google_Search_Brand_AllGeos_Alpha,Alpha,Brand Experiences,26,73,0.36,USD,0.97,25.28,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,personalized gifts for employees,Phrase match,None,Google_Search_NB_AllGeos_Beta,Beta,Gifts,9,70,0.13,USD,1.88,16.88,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,incentives for employees,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Incentive,7,70,0.10,USD,3.59,25.13,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,employee gift,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Gifts,6,69,0.09,USD,2.38,14.30,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,best gift for employees,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Gifts,6,69,0.09,USD,1.81,10.87,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,gifts for employees holiday,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Gifts,5,69,0.07,USD,2.35,11.76,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,motivation in the workplace,Exact match,Added,Google_Search_NB_Resources_Beta,Beta,employee motivation,7,68,0.10,USD,3.85,26.92,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,unique employee appreciation gifts,Exact match,Added,Google_Search_NB_AllGeos_Alpha,Alpha,Gifts,5,67,0.07,USD,1.69,8.45,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,staff appreciation gifts,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Appreciation,12,64,0.19,USD,2.62,31.43,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,employee anniversary gifts by year,Phrase match,None,Google_Search_NB_AllGeos_Beta,Beta,Anniversary,9,64,0.14,USD,2.99,26.95,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,holiday gift ideas for employees,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Gifts,9,64,0.14,USD,1.89,16.99,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,gift ideas for employees,Exact match (close variant),None,Google_Search_NB_AllGeos_Beta,Beta,Gifts,6,63,0.10,USD,0.88,5.29,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,how do you motivate employees,Broad match,None,Google_Search_NB_Resources_Beta,Beta,employee motivation,5,60,0.08,USD,2.23,11.13,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,employee appreciation gift ideas,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Appreciation,8,58,0.14,USD,2.49,19.92,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,employee holiday gifts,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Gifts,4,58,0.07,USD,1.97,7.88,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,great employee gifts,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Gifts,11,57,0.19,USD,1.44,15.80,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,company gifts,Exact match,Added,Google_Search_NB_AllGeos_Alpha,Alpha,Gifts,6,57,0.11,USD,3.36,20.14,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,best gifts for staff,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Gifts,8,56,0.14,USD,1.98,15.82,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,what motivates employees,Broad match,None,Google_Search_NB_Resources_Beta,Beta,employee motivation,6,53,0.11,USD,2.37,14.21,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,recognition awards,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Recognition,5,53,0.09,USD,1.12,5.60,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,corporate gifts for employees,Phrase match,None,Google_Search_NB_AllGeos_Beta,Beta,Gifts,5,52,0.10,USD,1.86,9.29,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,employee rewards,Exact match,Added,Google_Search_NB_AllGeos_Alpha,Alpha,Rewards,5,51,0.10,USD,8.41,42.06,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,best staff gifts,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Gifts,8,48,0.17,USD,1.45,11.61,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,work awards,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Employee Awards,8,48,0.17,USD,1.36,10.91,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,thank you gifts for coworkers,Exact match,Added,Google_Search_NB_AllGeos_Alpha,Alpha,Gifts,5,48,0.10,USD,1.04,5.20,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,motivate employees,Exact match (close variant),None,Google_Search_NB_Resources_Beta,Beta,employee motivation,4,48,0.08,USD,2.65,10.59,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,corporateperks,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Perks,7,47,0.15,USD,1.45,10.14,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,appreciation gifts for employees,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Appreciation,6,46,0.13,USD,3.09,18.55,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,perks com,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Rewards,6,45,0.13,USD,2.72,16.32,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,gift cards for employees,Broad match,None,Google_Search_NB_AllGeos_Beta,Beta,Gifts,5,45,0.11,USD,2.85,14.26,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,employee gift ideas 2019,Phrase match (close variant),None,Google_Search_NB_AllGeos_Beta,Beta,Gifts,6,44,0.14,USD,1.45,8.71,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,www mywmtotalrewards com,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Rewards,11,43,0.26,USD,2.52,27.68,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,how to manage millennials,Phrase match (close variant),None,Google_Search_NB_AllGeos_Beta,Beta,millennials,4,43,0.09,USD,2.72,10.89,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,office gifts,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Gifts,4,42,0.10,USD,1.37,5.49,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,perks com,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Perks,8,40,0.20,USD,1.93,15.47,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,best office gifts,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Gifts,7,40,0.18,USD,0.91,6.35,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,sales incentive ideas,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Sales Incentive,4,40,0.10,USD,1.54,6.16,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,company anniversary ideas,Exact match,Added,Google_Search_NB_AllGeos_Alpha,Alpha,Anniversary,6,39,0.15,USD,3.29,19.71,1,19.71,0.17,Search
Flag,,Flag,Flag,,Flag,employee appreciation,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Appreciation,5,39,0.13,USD,1.68,8.40,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,hertzrecognitions awardco com,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Recognition,8,38,0.21,USD,1.61,12.91,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,gifts for your staff,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Gifts,5,37,0.14,USD,1.95,9.73,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,christmas gift ideas for employees,Broad match,None,Google_Search_NB_AllGeos_Beta,Beta,Gifts,4,37,0.11,USD,0.93,3.71,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,www awardselect com,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Recognition,8,36,0.22,USD,1.86,14.86,1,29.72,0.06,Search
Flag,,Flag,Flag,,Flag,https hertzrecognitions awardco com,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Recognition,16,36,0.44,USD,2.37,37.91,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,staff appreciation ideas,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Appreciation,6,35,0.17,USD,2.21,13.27,1,13.27,0.17,Search
Flag,,Flag,Flag,,Flag,corporate gifts for employees,Phrase match (close variant),None,Google_Search_NB_AllGeos_Beta,Beta,Gifts,6,33,0.18,USD,1.32,7.94,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,chooseyourgift com,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Appreciation,10,32,0.31,USD,1.39,13.86,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,creative employee gifts,Phrase match,None,Google_Search_NB_AllGeos_Beta,Beta,Gifts,6,32,0.19,USD,1.53,9.17,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,best gift cards for employees,Broad match,None,Google_Search_NB_AllGeos_Beta,Beta,Gifts,5,32,0.16,USD,1.24,6.20,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,employee anniversary gift ideas,Phrase match,None,Google_Search_NB_AllGeos_Beta,Beta,Anniversary,7,29,0.24,USD,2.11,14.80,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,20 year work anniversary gifts,Phrase match,None,Google_Search_NB_AllGeos_Beta,Beta,Anniversary,4,29,0.14,USD,2.02,8.09,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,perk spot,Exact match (close variant),None,Google_Search_NB_Competitor_AllGeos_Alpha,Alpha,Competitor,4,29,0.14,USD,6.77,27.08,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,corporate anniversary gift ideas,Exact match,Added,Google_Search_NB_AllGeos_Alpha,Alpha,Anniversary,4,28,0.14,USD,3.48,13.90,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,incentive programs for employees,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Incentive,5,27,0.19,USD,9.98,49.90,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,you earned it app,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Rewards,4,27,0.15,USD,2.94,11.77,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,gifts to give your employees,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Gifts,4,27,0.15,USD,3.21,12.84,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,company anniversary gifts,Exact match,Added,Google_Search_NB_AllGeos_Alpha,Alpha,Anniversary,4,27,0.15,USD,5.01,20.03,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,www hertzrecognitions awardco com,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Recognition,10,26,0.38,USD,1.88,18.76,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,good employee gifts,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Gifts,8,26,0.31,USD,2.18,17.41,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,access perks,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Perks,4,26,0.15,USD,2.66,10.63,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,betterment referral,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Referral,5,25,0.20,USD,3.76,18.80,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,employee christmas gifts,Broad match,None,Google_Search_NB_AllGeos_Beta,Beta,Gifts,5,25,0.20,USD,2.32,11.59,0,0.00,0.00,Search
,Flag,Flag,Flag,,Flag,what is employer branding,Phrase match,None,Google_Search_NB_Resources_Beta,Beta,employer brand,2,24,0.08,USD,3.98,7.96,2,3.98,1.00,Search
Flag,,Flag,Flag,,Flag,how to boost employee morale and motivation,Broad match,None,Google_Search_NB_Resources_Beta,Beta,employee motivation,6,24,0.25,USD,2.92,17.51,1,17.51,0.17,Search
Flag,,Flag,Flag,,Flag,lkq awardco com,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Recognition,9,24,0.38,USD,1.66,14.96,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,work anniversary gifts by year,Phrase match,None,Google_Search_NB_AllGeos_Beta,Beta,Anniversary,5,24,0.21,USD,2.10,10.48,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,employee referral program ideas,Phrase match,None,Google_Search_NB_AllGeos_Beta,Beta,Referral,5,24,0.21,USD,6.48,32.42,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,unique employee benefits,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Perks,6,23,0.26,USD,1.67,9.99,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,gift ideas for employees from boss,Broad match,None,Google_Search_NB_AllGeos_Beta,Beta,Gifts,4,23,0.17,USD,1.69,6.76,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,employee incentive ideas,Exact match,Added,Google_Search_NB_AllGeos_Alpha,Alpha,Incentive,4,23,0.17,USD,2.63,10.53,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,unique corporate gifts,Phrase match,None,Google_Search_NB_AllGeos_Beta,Beta,Gifts,4,23,0.17,USD,2.95,11.81,0,0.00,0.00,Search
,Flag,Flag,,Flag,Flag,employee appreciation gift,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Appreciation,3,5,0.60,USD,2.37,7.10,2,3.55,0.67,Search
Flag,,Flag,,,,gifts for my employees,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Gifts,8,22,0.36,USD,2.19,17.53,0,0.00,0.00,Search
Flag,,Flag,,,,sales award ideas,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Sales Award,7,22,0.32,USD,2.02,14.14,0,0.00,0.00,Search
Flag,,Flag,,,,best gifts for employees 2019,Phrase match (close variant),None,Google_Search_NB_AllGeos_Beta,Beta,Gifts,10,21,0.48,USD,2.30,23.03,0,0.00,0.00,Search
Flag,,Flag,,,,how to incentivize employees,Broad match,None,Google_Search_NB_AllGeos_Beta,Beta,Incentive,6,21,0.29,USD,2.97,17.80,0,0.00,0.00,Search
Flag,,Flag,,,,amazon perks,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Perks,6,21,0.29,USD,1.02,6.11,0,0.00,0.00,Search
Flag,,Flag,,,,mywmtotalrewards com,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Rewards,6,21,0.29,USD,1.97,11.80,0,0.00,0.00,Search
