Alpha Clicks,Alpha Conversions,Compiled,Beta Impressions,Beta Clicks,Compiled,Search term,Match type,Added/Excluded,Campaign,Type,Ad group,Impr.,Clicks,CTR,Currency code,Cost,Conversions,Cost / conv.,Conv. rate
Flag,,Flag,Flag,,Flag,employee rewards,Exact match,Added,Google_Search_NB_AllGeos_Alpha,Alpha,Rewards,49,10,20.41%,USD,103,1,103,10.00%
Flag,,Flag,Flag,,Flag,netspend employee rewards,Phrase match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Rewards,49,8,16.33%,USD,18,0,0,0.00%
Flag,,Flag,Flag,,Flag,employee appreciation,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Recognition,49,6,12.24%,USD,17,0,0,0.00%
Flag,,Flag,Flag,,Flag,awardco,Exact match,Added,Google_Search_NB_Competitor_AllGeos_Alpha,Alpha,Competitor,48,4,8.33%,USD,25,0,0,0.00%
Flag,,Flag,Flag,,Flag,work anniversary cards,Phrase match,None,Google_Search_NB_AllGeos_Beta,Beta,Anniversary,43,5,11.63%,USD,28,0,0,0.00%
Flag,,Flag,Flag,,Flag,employee recognition programs examples,Broad match,None,Google_Search_NB_AllGeos_Beta,Beta,Recognition,42,6,14.29%,USD,38,0,0,0.00%
Flag,,Flag,Flag,,Flag,retirement ups com,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Retirement,42,5,11.90%,USD,10,0,0,0.00%
Flag,,Flag,Flag,,Flag,workperks,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Perks,40,5,12.50%,USD,14,0,0,0.00%
Flag,,Flag,Flag,,Flag,employee service award gifts,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Anniversary,39,5,12.82%,USD,19,0,0,0.00%
Flag,,Flag,Flag,,Flag,what motivates employees,Broad match,None,Google_Search_NB_Resources_Beta,Beta,employee motivation,39,4,10.26%,USD,12,0,0,0.00%
Flag,,Flag,Flag,,Flag,www mywmtotalrewards com,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Rewards,38,6,15.79%,USD,14,0,0,0.00%
Flag,,Flag,Flag,,Flag,best retirement gifts,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Retirement,38,4,10.53%,USD,6,0,0,0.00%
Flag,,Flag,Flag,,Flag,how to manage millennials,Phrase match (close variant),None,Google_Search_NB_AllGeos_Beta,Beta,millennials,37,4,10.81%,USD,9,0,0,0.00%
Flag,,Flag,Flag,,Flag,incentives for employees,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Incentive,35,8,22.86%,USD,40,0,0,0.00%
Flag,,Flag,Flag,,Flag,mtm recognition,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Recognition,35,4,11.43%,USD,12,0,0,0.00%
Flag,,Flag,Flag,,Flag,blueboard experiences,Exact match,Added,Google_Search_Brand_AllGeos_Alpha,Alpha,Brand Experiences,34,17,50.00%,USD,70,0,0,0.00%
Flag,,Flag,Flag,,Flag,work incentives,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Incentive,34,6,17.65%,USD,11,0,0,0.00%
Flag,,Flag,Flag,,Flag,health and wellness ideas in the workplace,Phrase match (close variant),None,Google_Search_NB_Products_Beta,Beta,wellbeing incentives,33,6,18.18%,USD,51,0,0,0.00%
Flag,,Flag,Flag,,Flag,rewards for employees to motivate,Broad match,None,Google_Search_NB_Resources_Beta,Beta,employee motivation,32,5,15.63%,USD,14,0,0,0.00%
Flag,,Flag,Flag,,Flag,best corporate gifts,Phrase match,None,Google_Search_NB_AllGeos_Beta,Beta,Gifts,31,5,16.13%,USD,17,0,0,0.00%
Flag,,Flag,Flag,,Flag,staff appreciation gifts,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Appreciation,31,4,12.90%,USD,19,0,0,0.00%
Flag,,Flag,Flag,,Flag,amazon perks,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Perks,30,11,36.67%,USD,14,0,0,0.00%
Flag,,Flag,Flag,,Flag,business anniversary gift ideas,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Anniversary,30,5,16.67%,USD,13,0,0,0.00%
Flag,,Flag,Flag,,Flag,unique retirement gifts,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Retirement,30,4,13.33%,USD,4,0,0,0.00%
Flag,,Flag,Flag,,Flag,employee anniversary gifts,Phrase match,None,Google_Search_NB_AllGeos_Beta,Beta,Anniversary,29,6,20.69%,USD,49,0,0,0.00%
Flag,,Flag,Flag,,Flag,unique employee benefits,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Perks,29,5,17.24%,USD,19,0,0,0.00%
Flag,,Flag,Flag,,Flag,company anniversary ideas,Exact match,Added,Google_Search_NB_AllGeos_Alpha,Alpha,Anniversary,29,4,13.79%,USD,18,0,0,0.00%
Flag,,Flag,Flag,,Flag,motivation in management,Exact match,Added,Google_Search_NB_Resources_Beta,Beta,employee motivation,29,4,13.79%,USD,12,0,0,0.00%
Flag,,Flag,Flag,,Flag,retire opm gov,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Retirement,28,7,25.00%,USD,20,1,20,14.29%
Flag,,Flag,Flag,,Flag,employee referral program ideas,Exact match,Added,Google_Search_NB_Products_Beta,Beta,employee referrals,28,8,28.57%,USD,58,0,0,0.00%
Flag,,Flag,Flag,,Flag,20 year work anniversary gifts,Phrase match,None,Google_Search_NB_AllGeos_Beta,Beta,Anniversary,28,4,14.29%,USD,6,0,0,0.00%
Flag,,Flag,Flag,,Flag,employee appreciation gift ideas,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Appreciation,28,4,14.29%,USD,11,0,0,0.00%
Flag,,Flag,Flag,,Flag,corporateperks,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha_eCPC,Alpha,Perks,27,6,22.22%,USD,23,0,0,0.00%
Flag,,Flag,Flag,,Flag,employee recognition ideas,Exact match,Added,Google_Search_NB_AllGeos_Alpha_eCPC,Alpha,Recognition,27,5,18.52%,USD,43,0,0,0.00%
Flag,,Flag,Flag,,Flag,sales awards ideas,Exact match,Added,Google_Search_NB_AllGeos_Alpha,Alpha,Sales Award,26,6,23.08%,USD,31,0,0,0.00%
Flag,,Flag,Flag,,Flag,unique corporate gifts,Phrase match,None,Google_Search_NB_AllGeos_Beta,Beta,Gifts,26,4,15.38%,USD,12,0,0,0.00%
Flag,,Flag,Flag,,Flag,company perks,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Perks,25,9,36.00%,USD,34,0,0,0.00%
Flag,,Flag,Flag,,Flag,employee anniversary gift ideas,Phrase match,None,Google_Search_NB_AllGeos_Beta,Beta,Anniversary,25,5,20.00%,USD,26,0,0,0.00%
Flag,,Flag,Flag,,Flag,riversphiladelphia awardco com,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Recognition,25,5,20.00%,USD,15,0,0,0.00%
Flag,,Flag,Flag,,Flag,betterment referral,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Referral,25,4,16.00%,USD,11,0,0,0.00%
Flag,,Flag,Flag,,Flag,examples of employee recognition awards,Phrase match (close variant),None,Google_Search_NB_AllGeos_Beta,Beta,Recognition,24,5,20.83%,USD,10,0,0,0.00%
Flag,,Flag,Flag,,Flag,how do you motivate employees,Broad match,None,Google_Search_NB_Resources_Beta,Beta,employee motivation,24,5,20.83%,USD,15,0,0,0.00%
Flag,,Flag,Flag,,Flag,what is blue board,Phrase match (close variant),None,Google_Search_Brand_AllGeos_Beta,Beta,Brand Core,24,4,16.67%,USD,29,0,0,0.00%
Flag,,Flag,Flag,,Flag,gifts for employees,Exact match,Added,Google_Search_NB_AllGeos_Alpha,Alpha,Gifts,24,4,16.67%,USD,6,0,0,0.00%
Flag,,Flag,Flag,,Flag,employee recognition programs examples,Broad match,None,Google_Search_NB_AllGeos_Beta_tCPA,Beta,Recognition,23,4,17.39%,USD,19,0,0,0.00%
Flag,,Flag,Flag,,Flag,managing millennials,Exact match,Added,Google_Search_NB_AllGeos_Beta_tCPA,Beta,millennials,23,4,17.39%,USD,12,0,0,0.00%
Flag,,Flag,Flag,,Flag,fond perks,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Rewards,22,4,18.18%,USD,11,0,0,0.00%
Flag,,Flag,Flag,,Flag,kaiser wellness incentive program,Phrase match,None,Google_Search_NB_Products_Beta,Beta,wellbeing incentives,22,4,18.18%,USD,23,0,0,0.00%
Flag,,Flag,Flag,,Flag,motivational stories for employees,Broad match,None,Google_Search_NB_Resources_Beta,Beta,employee motivation,22,4,18.18%,USD,12,0,0,0.00%
Flag,,Flag,Flag,,Flag,incentive programs for employees,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Incentive,21,7,33.33%,USD,121,0,0,0.00%
Flag,,Flag,Flag,,Flag,employee recognition gifts,Phrase match,None,Google_Search_NB_AllGeos_Beta_tCPA,Beta,Recognition,21,5,23.81%,USD,22,0,0,0.00%
Flag,,Flag,Flag,,Flag,sprint perks,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Perks,21,5,23.81%,USD,8,0,0,0.00%
Flag,,Flag,Flag,,Flag,corporate gifts,Exact match,Added,Google_Search_NB_AllGeos_Alpha_eCPC,Alpha,Gifts,21,4,19.05%,USD,29,0,0,0.00%
Flag,,Flag,Flag,,Flag,www hertzrecognitions awardco com,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Recognition,20,9,45.00%,USD,19,0,0,0.00%
Flag,,Flag,Flag,,Flag,fedexground hrintranet reward & recognition button,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Recognition,20,9,45.00%,USD,16,0,0,0.00%
Flag,,Flag,Flag,,Flag,work anniversary gift ideas,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Anniversary,20,4,20.00%,USD,15,0,0,0.00%
Flag,,Flag,Flag,,Flag,employee gifts,Exact match,Added,Google_Search_NB_AllGeos_Alpha,Alpha,Gifts,20,4,20.00%,USD,12,0,0,0.00%
Flag,,Flag,Flag,,Flag,incentive travel,Exact match,Added,Google_Search_NB_AllGeos_Alpha,Alpha,Travel,19,6,31.58%,USD,64,0,0,0.00%
Flag,,Flag,Flag,,Flag,work perks,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Perks,19,5,26.32%,USD,20,0,0,0.00%
Flag,,Flag,Flag,,Flag,10 year work anniversary gift,Phrase match (close variant),None,Google_Search_NB_AllGeos_Beta,Beta,Anniversary,19,5,26.32%,USD,11,0,0,0.00%
Flag,,Flag,Flag,,Flag,best benefits,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Perks,19,4,21.05%,USD,14,0,0,0.00%
Flag,,Flag,Flag,,Flag,fedexground hrintranet reward & recognition,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Recognition,18,10,55.56%,USD,21,0,0,0.00%
Flag,,Flag,Flag,,Flag,https scna recognition com,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Recognition,18,10,55.56%,USD,27,0,0,0.00%
Flag,,Flag,Flag,,Flag,wm rewards,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Rewards,18,4,22.22%,USD,8,0,0,0.00%
Flag,,Flag,Flag,,Flag,extended stay perks,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Perks,17,4,23.53%,USD,5,0,0,0.00%
Flag,,Flag,Flag,,Flag,vistana rewards and recognition,Phrase match,None,Google_Search_NB_AllGeos_Beta,Beta,Recognition,16,11,68.75%,USD,32,0,0,0.00%
Flag,,Flag,Flag,,Flag,employee anniversary gifts catalog,Phrase match,None,Google_Search_NB_AllGeos_Beta,Beta,Anniversary,15,6,40.00%,USD,56,0,0,0.00%
Flag,,Flag,Flag,,Flag,hertzrecognition awardco com,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Recognition,15,6,40.00%,USD,6,0,0,0.00%
Flag,,Flag,Flag,,Flag,how do you motivate employees,Phrase match (close variant),None,Google_Search_NB_Resources_Beta,Beta,employee motivation,15,4,26.67%,USD,12,0,0,0.00%
Flag,,Flag,Flag,,Flag,corporate gifts for employees,Phrase match,None,Google_Search_NB_AllGeos_Beta,Beta,Gifts,15,4,26.67%,USD,23,0,0,0.00%
Flag,,Flag,Flag,,Flag,blueboard rewards,Exact match,Added,Google_Search_Brand_AllGeos_Alpha,Alpha,Brand Rewards,14,7,50.00%,USD,7,0,0,0.00%
Flag,,Flag,Flag,,Flag,http www crothallgem com,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Recognition,14,5,35.71%,USD,16,0,0,0.00%
Flag,,Flag,,,,motivation in the workplace,Exact match,Added,Google_Search_NB_Resources_Beta,Beta,employee motivation,14,4,28.57%,USD,16,0,0,0.00%
Flag,,Flag,,,,national employee appreciation day 2020,Phrase match,None,Google_Search_NB_AllGeos_Beta,Beta,Appreciation,14,4,28.57%,USD,12,0,0,0.00%
Flag,,Flag,,,,amazon com perks,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Perks,13,9,69.23%,USD,11,0,0,0.00%
Flag,,Flag,,,,menorahpark awardco com,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Recognition,13,4,30.77%,USD,9,0,0,0.00%
Flag,,Flag,,,,ideas for employee appreciation,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Appreciation,12,6,50.00%,USD,28,0,0,0.00%
Flag,,Flag,,,,blueboard employee recognition,Exact match,Added,Google_Search_Brand_AllGeos_Alpha,Alpha,Brand Recognition,12,6,50.00%,USD,115,0,0,0.00%
Flag,,Flag,,,,mclaneco perkspot com,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Perks,12,6,50.00%,USD,9,0,0,0.00%
Flag,,Flag,,,,incentive ideas for employees,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Incentive,12,6,50.00%,USD,27,0,0,0.00%
Flag,,Flag,,,,wellness ideas for work,Exact match (close variant),None,Google_Search_NB_Products_Beta,Beta,wellbeing incentives,12,5,41.67%,USD,39,0,0,0.00%
Flag,,Flag,,,,reward 1 spot com,Broad match,None,Google_Search_NB_Products_Beta,Beta,spot recognition,12,5,41.67%,USD,6,0,0,0.00%
Flag,,Flag,,,,work anniversary ideas for employees,Phrase match,None,Google_Search_NB_AllGeos_Beta,Beta,Anniversary,11,5,45.45%,USD,12,0,0,0.00%
Flag,,Flag,,,,awardselect northrop grumman 118,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Recognition,11,4,36.36%,USD,11,0,0,0.00%
Flag,,Flag,,,,myinprs retirement org,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Retirement,11,4,36.36%,USD,9,0,0,0.00%
Flag,,Flag,,,,reward spot com,Broad match,None,Google_Search_NB_Products_Beta,Beta,spot recognition,11,4,36.36%,USD,5,0,0,0.00%
Flag,,Flag,,,,www gwperks com,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Perks,10,6,60.00%,USD,5,0,0,0.00%
Flag,,Flag,,,,job1rewards,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Rewards,10,5,50.00%,USD,10,0,0,0.00%
Flag,,Flag,,,,http towerhealth awardco com,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Recognition,10,5,50.00%,USD,7,0,0,0.00%
Flag,,Flag,,,,retirement at ups com,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Retirement,10,4,40.00%,USD,5,0,0,0.00%
Flag,,Flag,,,,https inspira recognition com,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Recognition,9,8,88.89%,USD,19,0,0,0.00%
Flag,,Flag,,,,blueboard inc san diego,Phrase match,None,Google_Search_Brand_AllGeos_Beta,Beta,Brand Core,9,5,55.56%,USD,11,0,0,0.00%
Flag,,Flag,,,,https hertzrecognition awardco com,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Recognition,8,7,87.50%,USD,13,0,0,0.00%
Flag,,Flag,,,,just energy perks,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Perks,8,4,50.00%,USD,6,0,0,0.00%
Flag,,Flag,,,,mywmtotalrewards,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Rewards,8,4,50.00%,USD,9,0,0,0.00%
Flag,,Flag,,,,examples of employee recognition,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Recognition,7,5,71.43%,USD,24,0,0,0.00%
Flag,,Flag,,,,petsmart perkspot,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Perks,7,5,71.43%,USD,6,0,0,0.00%
Flag,,Flag,,,,talbots team rewards,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Rewards,7,5,71.43%,USD,11,0,0,0.00%
Flag,,Flag,,,,abenity perks,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Perks,7,5,71.43%,USD,9,0,0,0.00%
Flag,,Flag,,,,how to retain staff,Exact match (close variant),None,Google_Search_NB_Resources_Beta,Beta,employee retention,7,4,57.14%,USD,15,0,0,0.00%
Flag,,Flag,,,,employee anniversary gift ideas,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Anniversary,7,4,57.14%,USD,20,0,0,0.00%
Flag,,Flag,,,,blue board experience,Exact match (close variant),None,Google_Search_Brand_AllGeos_Alpha,Alpha,Brand Experiences,7,4,57.14%,USD,1,0,0,0.00%
Flag,,Flag,,,,vistana recognition,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Recognition,6,7,116.67%,USD,13,1,26,7.14%
Flag,,Flag,,,,company gift ideas,Phrase match (close variant),None,Google_Search_NB_AllGeos_Beta,Beta,Gifts,6,5,83.33%,USD,9,0,0,0.00%
Flag,,Flag,,,,blueboard com,Exact match,Added,Google_Search_Brand_AllGeos_Alpha,Alpha,Brand Core,6,5,83.33%,USD,7,0,0,0.00%
Flag,,Flag,,,,recognition programs,Exact match,Added,Google_Search_NB_AllGeos_Alpha,Alpha,Recognition,6,4,66.67%,USD,64,0,0,0.00%
Flag,,Flag,,,,ohio public employees retirement system,Phrase match (close variant),None,Google_Search_NB_AllGeos_Beta,Beta,Retirement,6,4,66.67%,USD,12,0,0,0.00%
